csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,poseidon_w16_d2,16,16,16by16by16,25,[16,16,16,8192],1146736,219.377469,6881.658,152952.954663,315.51,-5.25,24255.25,5.54
csv,poseidon_w16_d2,16,16,32by16by8,12,[32,16,8],241232,0.035015,0.871,116979.550312,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by16by8,13,[32,16,8,2],266032,0.068185,0.919,120143.726626,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by16by8,14,[32,16,8,4],266224,0.135780,0.943,120665.782884,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by16by8,15,[32,16,8,8],266608,0.268066,0.967,122238.686345,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by16by8,16,[32,16,8,16],318960,0.517881,0.994,126546.456261,132.75,29.12,85.19,-22.55
csv,poseidon_w16_d2,16,16,32by16by8,17,[32,16,8,32],345456,1.027996,1.138,127502.457148,110.91,28.57,93.12,-22.22
csv,poseidon_w16_d2,16,16,32by16by8,18,[32,16,8,64],348528,2.058981,1.504,127317.340027,110.40,29.63,146.28,-22.86
csv,poseidon_w16_d2,16,16,32by16by8,19,[32,16,8,128],354672,4.126545,2.855,127052.530414,111.50,30.21,348.69,-23.20
csv,poseidon_w16_d2,16,16,32by16by8,20,[32,16,8,256],366960,8.259949,7.920,126947.037826,115.70,29.13,1079.39,-22.56
csv,poseidon_w16_d2,16,16,32by16by8,21,[32,16,8,512],468080,16.547656,28.333,126734.082780,136.06,29.67,1635.07,-22.88
csv,poseidon_w16_d2,16,16,32by16by8,22,[32,16,8,1024],517232,33.250894,109.538,126141.089305,154.76,29.74,9052.98,-22.92
csv,poseidon_w16_d2,16,16,32by16by8,23,[32,16,8,2048],615536,67.583779,432.937,124121.618154,191.96,29.68,16969.69,-22.89
csv,poseidon_w16_d2,16,16,32by16by8,24,[32,16,8,4096],812144,138.567783,1733.725,121075.878442,261.30,29.35,22227.55,-22.69
csv,poseidon_w16_d2,16,16,32by16by8,25,[32,16,8,8192],1230320,296.459350,6902.494,113183.922133,345.79,28.05,24328.99,-21.90
