csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,regmach_w8_d2,8,8,32by`6by8,13,[32,16,8,2],290704,0.024100,0.659,339922.301696,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,14,[32,16,8,4],313648,0.045978,0.750,356346.276188,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,15,[32,16,8,8],319216,0.089579,0.757,365799.509651,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,16,[32,16,8,16],381424,0.179567,0.920,364966.074712,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,17,[32,16,8,32],423856,0.342857,1.129,382293.028773,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,18,[32,16,8,64],488560,0.680372,1.490,385295.268061,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,19,[32,16,8,128],587056,1.359126,2.185,385753.833288,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,20,[32,16,8,256],763888,2.746184,3.753,381830.187734,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,21,[32,16,8,512],838000,5.491829,6.039,381867.677297,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,22,[32,16,8,1024],892144,11.058119,10.257,379296.342789,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,23,[32,16,8,2048],941296,22.561482,18.921,371811.033420,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,24,[32,16,8,4096],1039600,50.111984,37.270,334794.490262,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by`6by8,25,[32,16,8,8192],1265776,127.818115,73.753,262517.029607,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,15,[64,32,16],457712,0.089611,0.994,365670.752122,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,16,[64,32,16,2],484240,0.173011,0.890,378797.544948,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,17,[64,32,16,4],548848,0.342069,1.033,383174.201969,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,18,[64,32,16,8],554416,0.668627,1.080,392063.358231,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,19,[64,32,16,16],650224,1.340974,1.294,390975.587703,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,20,[64,32,16,32],692656,2.707736,1.496,387251.915103,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,21,[64,32,16,64],757360,5.447744,1.874,384957.892316,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,22,[64,32,16,128],888112,10.837329,2.632,387023.779764,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,23,[64,32,16,256],1064944,22.165480,3.970,378453.703687,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,24,[64,32,16,512],1097392,49.579849,6.225,338387.797460,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,64by32by16,25,[64,32,16,1024],1226800,122.495756,11.081,273923.220001,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,11,[16,16,8],189872,0.008310,0.511,246436.477990,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,12,[16,16,8,2],206032,0.013369,0.525,306374.703143,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,13,[16,16,8,4],269296,0.024392,0.653,335850.104588,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,14,[16,16,8,8],274864,0.047689,0.703,343556.011897,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,15,[16,16,8,16],295408,0.093807,0.810,349314.347467,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,16,[16,16,8,32],317680,0.176666,0.953,370959.014808,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,17,[16,16,8,64],422704,0.349652,1.376,374864.194598,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,18,[16,16,8,128],521200,0.697360,2.048,375908.918811,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,19,[16,16,8,256],698032,1.405232,3.379,373097.022953,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,20,[16,16,8,512],710320,2.878895,5.609,364228.694406,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,21,[16,16,8,1024],804784,5.704659,10.397,367620.892262,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,22,[16,16,8,2048],853936,11.466729,19.050,365780.333195,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,23,[16,16,8,4096],952240,23.399288,36.464,358498.426966,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,24,[16,16,8,8192],1158256,53.370696,73.980,314352.580300,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by2by8,25,[16,16,8,16384],1611952,134.002279,148.891,250401.949708,0.00,0.00,0.00,0.00
